date,date_str,Tmax_día_x,Tmin_día_x,Tmedia_día_x,ΔTmax_1d,MA_Tmax_3d,DTR_x,HR_media_día_x,Punto_de_rocío_día_x (Td),Presión_media_día_x (SLP),ΔPresión_24h,Viento_vel_media_día_x,Viento_dir_sin(x),Viento_dir_cos(x),Nubosidad_media_día_x,Precipitación_acum_día_x,t_max_x+1,ciudad,doy_sin,doy_cos
1980-09-01,01-09-80,31.1,23.9,27.5,1.7000000000000028,29.433333333333334,7.200000000000003,70.0,20.7,1012.8,-1.3000000000000682,3.37,-0.6293203910498376,-0.7771459614569708,84.0,0.0,32.2,new york,-0.8786374941610001,-0.4774894280028391
1980-09-02,02-09-80,32.2,23.9,28.05,1.1000000000000014,30.9,8.300000000000004,65.0,21.1,1011.3,-1.5,3.5,-0.7071067811865475,-0.7071067811865477,22.0,0.2,30.0,new york,-0.886721063082993,-0.4623048304798108
1980-09-03,03-09-80,30.0,20.6,25.3,-2.200000000000003,31.100000000000005,9.4,55.0,14.9,1016.2,4.900000000000091,2.78,-0.5591929034707466,0.8290375725550418,44.0,0.0,28.3,new york,-0.8945422369764496,-0.4469834295196741
1980-09-04,04-09-80,28.3,20.6,24.450000000000003,-1.6999999999999993,30.166666666666668,7.699999999999999,63.0,15.4,1019.9,3.699999999999932,2.81,0.8829475928589269,-0.4694715627858909,32.0,0.0,24.4,new york,-0.9020987014301836,-0.4315297589714714
1980-09-05,05-09-80,24.4,21.7,23.05,-3.900000000000002,27.566666666666663,2.7,72.0,18.1,1017.7,-2.199999999999932,3.14,-0.1736481776669304,-0.984807753012208,75.0,0.0,28.9,new york,-0.9093882203647924,-0.4159483918249421
1980-09-06,06-09-80,28.9,21.1,25.0,4.5,27.2,7.799999999999997,67.0,17.2,1012.9,-4.800000000000068,2.99,-0.4226182617406993,-0.90630778703665,42.0,0.0,27.2,new york,-0.9164086366943458,-0.4002439388573056
1980-09-07,07-09-80,27.2,20.0,23.6,-1.6999999999999993,26.83333333333333,7.199999999999999,52.0,12.0,1010.7,-2.199999999999932,3.79,-0.4226182617406992,0.90630778703665,10.0,0.0,26.7,new york,-0.923157872964704,-0.3844210472688554
1980-09-08,08-09-80,26.7,17.8,22.25,-0.5,27.6,8.899999999999999,49.0,9.4,1014.4,3.699999999999932,2.87,-0.4539904997395469,0.8910065241883678,3.0,0.0,25.0,new york,-0.9296339319682696,-0.3684843993077793
1980-09-09,09-09-80,25.0,16.1,20.55,-1.6999999999999993,26.3,8.899999999999999,59.0,12.4,1013.9,-0.5,3.26,0.1564344650402309,-0.9876883405951375,52.0,0.0,25.6,new york,-0.935834897334994,-0.3524387108846032
1980-09-10,10-09-80,25.6,18.9,22.25,0.6000000000000014,25.766666666666666,6.700000000000003,48.0,9.7,1010.0,-3.899999999999977,4.21,-0.6819983600624983,0.7313537016191707,42.0,0.0,26.7,new york,-0.9417589340994617,-0.3362887301766828
1980-09-11,11-09-80,26.7,16.1,21.4,1.099999999999998,25.766666666666666,10.599999999999998,51.0,8.9,1011.5,1.5,3.24,-0.9563047559630352,-0.2923717047227371,8.0,0.0,26.7,new york,-0.9474042892438844,-0.3200392362231385
1980-09-12,12-09-80,26.7,19.4,23.05,0.0,26.33333333333333,7.300000000000001,60.0,12.4,1015.0,3.5,2.09,-0.5150380749100542,-0.8571673007021123,56.0,0.0,25.6,new york,-0.9527692922168512,-0.3036950375106588
1980-09-13,13-09-80,25.6,18.9,22.25,-1.099999999999998,26.33333333333333,6.700000000000003,78.0,16.5,1018.6,3.6000000000000227,2.97,0.6293203910498374,-0.7771459614569709,53.0,0.3,27.8,new york,-0.9578523554276668,-0.2872609705505963
1980-09-14,14-09-80,27.8,21.1,24.450000000000003,2.2,26.7,6.699999999999999,78.0,19.0,1009.4,-9.200000000000044,3.18,-0.6427876096865393,-0.766044443118978,94.0,8.4,23.9,new york,-0.9626519747161488,-0.2707418984477642
1980-09-15,15-09-80,23.9,16.7,20.3,-3.900000000000002,25.766666666666666,7.199999999999999,70.0,13.8,1007.1,-2.2999999999999545,3.88,-0.0523359562429443,0.9986295347545738,37.0,0.0,20.6,new york,-0.9671667297977312,-0.2541427094613622
1980-09-16,16-09-80,20.6,16.1,18.35,-3.299999999999997,24.1,4.5,65.0,10.9,1014.8,7.699999999999932,3.1,0.9781476007338056,-0.2079116908177593,89.0,0.0,23.3,new york,-0.97139528468375,-0.2374683155584684
1980-09-17,17-09-80,23.3,16.1,19.700000000000003,2.7,22.6,7.199999999999999,77.0,16.8,1010.7,-4.099999999999909,4.15,0.2923717047227366,-0.9563047559630355,93.0,0.1,21.7,new york,-0.9753363880767836,-0.2207236509605022
1980-09-18,18-09-80,21.7,16.1,18.9,-1.6000000000000014,21.866666666666664,5.599999999999998,76.0,15.6,1012.6,1.8999999999999773,3.0,-0.529919264233205,0.848048096156426,73.0,10.7,24.4,new york,-0.978988873740932,-0.2039136706831147
1980-09-19,19-09-80,24.4,13.3,18.85,2.7,23.133333333333336,11.099999999999998,67.0,11.3,1019.0,6.399999999999977,1.86,-0.8660254037844386,0.5000000000000001,1.0,0.0,23.9,new york,-0.9823516608469236,-0.1870433490699165
1980-09-20,20-09-80,23.9,17.2,20.55,-0.5,23.33333333333333,6.699999999999999,76.0,15.1,1017.5,-1.5,3.6,-0.1391731009600655,-0.9902680687415704,38.0,0.0,29.4,new york,-0.9854237542919524,-0.1701176783204905
1980-09-21,21-09-80,29.4,20.6,25.0,5.5,25.899999999999995,8.799999999999997,74.0,18.7,1010.7,-6.7999999999999545,3.35,-0.6691306063588582,-0.7431448254773942,58.0,0.0,32.8,new york,-0.9882042449941422,-0.15314166701312
1980-09-22,22-09-80,32.8,22.8,27.8,3.3999999999999986,28.7,9.999999999999996,72.0,20.2,1006.7,-4.0,3.45,-0.913545457642601,-0.4067366430758001,31.0,0.0,28.9,new york,-0.9906923101615608,-0.136120338622667
1980-09-23,23-09-80,28.9,17.2,23.05,-3.899999999999999,30.366666666666664,11.7,62.0,15.1,1005.9,-0.8000000000000682,4.41,-0.8829475928589271,0.4694715627858904,64.0,1.5,20.0,new york,-0.9928872135356962,-0.1190587300340498
