model_name,library,family,validation_n,validation_mae,validation_rmse,validation_bias,test_n,test_mae,test_rmse,test_bias,backtest_elapsed_sec,final_fit_elapsed_sec,total_elapsed_sec
hist_gbr,scikit-learn,boosting,14610,2.188235115939919,2.8189421144343885,-0.14541973658081114,1830,2.4281403818959415,3.3726242446495704,-0.11387289664080766,269.333890300004,7.804363999999623,277.3608917999991
lightgbm,lightgbm,boosting,14610,2.190580634949481,2.822525282072702,-0.15824754386885975,1830,2.446791328507515,3.4043305216497823,-0.17230217736958886,47.09053660000791,1.412990799999534,48.714961499998026
xgboost,xgboost,boosting,14610,2.201574559996637,2.831882279554103,-0.17649685374440038,1830,2.4188348239793602,3.3435472533445925,-0.1888714030860349,45.54026220000378,1.809142599999177,47.55588540000099
elasticnet,scikit-learn,linear,14610,2.2148106366802973,2.8501650514370667,-0.17325977689902947,1830,2.359909121886454,3.0941583554933243,-0.23531881568723936,2190.324956299999,164.1663597000006,2354.640689
ridge,scikit-learn,linear,14610,2.216481348076915,2.852037122783834,-0.16800495056573733,1830,2.3902964702360134,3.1622322556144327,-0.2102474104460842,2.538944600008108,0.13369740000052843,2.8238549000016064
gbr,scikit-learn,boosting,14610,2.2337437311440285,2.881944031898551,-0.20280156604403932,1830,2.4575727923779582,3.3519863005043775,-0.2542779062277564,1113.0172713000175,56.062307500000315,1169.2315230000022
mlp,scikit-learn,neural_network,14610,2.2461414811882805,2.882808863421141,-0.10860980332612548,1830,2.2776763440418644,3.0289222811598675,-0.2919043452518823,54.01714570001059,2.974270999999135,57.1444917000008
extra_trees,scikit-learn,bagging,14610,2.293275058939843,2.922013220843832,-0.02325629959185733,1830,2.501265735681036,3.388935743485837,-0.05609876543209854,40.10345180000877,1.9858907000016188,42.403559099999256
random_forest,scikit-learn,bagging,14610,2.3057552335063907,2.9337111394761117,-0.00877091174162267,1830,2.5048629767228685,3.4387933386667586,0.009389058586581444,123.77002450000873,6.339482199997292,130.28437269999995
