feature,family,pearson,spearman,kendall,mutual_info,missing_rate,near_zero_variance,univariate_mae,univariate_lift,temporal_stability,drift_ks,corr_shift,perm_hist_gbr,perm_lightgbm,max_peer_corr,abs_pearson,abs_spearman,abs_kendall,perm_avg,gain_avg,n_abs_pearson,n_abs_spearman,n_abs_kendall,n_mutual_info,n_perm_avg,n_gain_avg,n_univariate_lift,n_temporal_stability,n_missing_rate,n_max_peer_corr,n_drift_ks,n_corr_shift,redundancy_penalty,drift_penalty,utility_score
Cloud_mean_last_6h,other,-0.007025624158490786,-0.049837202470587066,-0.037900324361029344,0.038122532685852306,0.0009348290598290599,0.0,8.485345006644618,-0.004052695563876401,0.9354872114492,0.1324153568288322,0.03143941349117308,0.0660055227932892,0.06956588067030882,0.8834882324035433,0.007025624158490786,0.049837202470587066,0.037900324361029344,0.06778570173179901,,0.0,0.05070057381831824,0.04673249119426221,0.03422410822317064,0.021265662602174665,0.0,0.002442454643241484,0.46198661715854905,0.017857142857142856,0.766214138404789,0.5313422941538163,0.12661616596832065,0.4597284830428734,0.369451842879618,-0.018284458030363195
extreme_heat_flag,temperature_lags,0.14328312985862565,0.1368484750253752,0.11258626326310238,0.020222080183633917,0.04887820512820513,0.0,8.451019872446576,8.92402733030976e-06,0.9284949836871425,0.001955663478533709,0.026372063560113,0.0,-0.0001356303677026105,0.631707543564488,0.14328312985862565,0.1368484750253752,0.11258626326310238,-6.781518385130525e-05,,0.1453309428795828,0.14306518886479838,0.13985122960301694,0.01815416269442038,0.000657431162223859,0.0,0.008647341812686405,0.3955682701900056,0.9336734693877551,0.26100538149065566,0.007476828963254474,0.10618456885672853,0.1566032288943934,0.046959924920644096,-0.01932067266498439
extreme_cold_flag,temperature_lags,-0.14309024928015646,-0.13235385272207023,-0.1088885038995854,0.016740236914957407,0.04887820512820513,0.0,8.477102135403088,-0.0030773342694608036,0.9305789596584741,0.03517666881411363,0.06243807271371775,0.0,0.0,0.5474446048279555,0.14309024928015646,0.13235385272207023,0.1088885038995854,0.0,,0.1451252183127925,0.13829403627002756,0.13524084789085367,0.015028374021740567,0.0006780277512803679,0.0,0.003932502306591087,0.4153637121933545,0.9336734693877551,0.09192817890889848,0.14087693873886045,0.25160301804113105,0.05515690734533909,0.1851673704597687,-0.023087843720285873
HR_min_00_23h_x,humidity_dewpoint,0.0425845960095067,0.0460275593247311,0.029357694060059215,0.0751074652384105,0.0,0.0,8.475923329209145,-0.00293784865801553,0.9200737279245116,0.13355989190548012,0.019545123068088713,1.142024281364229e-06,0.0014650748608609377,0.9011038475069745,0.0425845960095067,0.0460275593247311,0.029357694060059215,0.000733108442571151,,0.03792685680236675,0.04665654351856733,0.03608150430151179,0.06742694772851027,0.0009006848682853599,0.0,0.004145592789671464,0.31557575475903316,0.0,0.801560626055282,0.5359382148167994,0.07865828795339358,0.48093637563316916,0.353026244071437,-0.0233120496764296
Temp_dewpoint_spread_23h,temperature_current,-0.055232102890193126,-0.06963285413947673,-0.0455494276982133,0.03180506083248602,0.0002670940170940171,0.0,8.48066952496684,-0.003499455833735096,0.9241240708785643,0.11467570542116134,0.007169798395314474,-0.00274420126079864,-0.0017206716832808943,0.9791645725471947,0.055232102890193126,0.06963285413947673,0.0455494276982133,-0.002232436472039767,,0.051416565795655254,0.07171414702907562,0.05626942496235327,0.02855266340631879,0.0,0.0,0.0032876322937070383,0.354049484851702,0.005102040816326531,0.95819282069748,0.4601081029768934,0.02876087583873948,0.574915692418488,0.28756921212163183,-0.024031371968012676
Temp_dewpoint_spread_mean_00_23h,temperature_current,0.030223826125147478,0.021223506601471744,0.01489394449119504,0.03332830307379098,0.0,0.0,8.476542441328775,-0.0030111068687404324,0.9174710344704142,0.14224783182503775,0.012994983468499508,0.0017438152273074436,0.0029546016269400787,0.9749680686910772,0.030223826125147478,0.021223506601471744,0.01489394449119504,0.002349208427123761,,0.024742978726946356,0.0203264288781468,0.018048041345669934,0.029920138325839875,0.001391521069939623,0.0,0.004033677106388975,0.2908530765555235,0.0,0.9497723556240458,0.5708249416718592,0.0522480705529357,0.5698634133744275,0.3633941932242898,-0.04998151625997409
tmax_anomaly_x,climatology,0.23530897262301934,0.23179411637096067,0.15888378405305578,0.08909654942925194,0.04887820512820513,0.0,8.460183079733469,-0.0010753386595976266,0.9068450902823946,0.05493417248955185,0.07648682724988895,0.001110359055153598,0.0010819549140892448,0.9990557275032914,0.23530897262301934,0.23179411637096067,0.15888378405305578,0.0010961569846214213,,0.24348482019824214,0.24385233236628243,0.19757517055884113,0.07998550293352888,0.0010109486942239535,0.0,0.006990926807944857,0.18991848575486728,0.9336734693877551,0.9981052767134365,0.22021388632884184,0.3082477132975832,0.5988631660280619,0.2554274171163384,-0.05997738969347423
tmax_anomaly_vs_doy_plus1,climatology,0.23507342527400213,0.2317341782800858,0.15878571674636224,0.07739233030128023,0.04887820512820513,0.0,8.460109708569838,-0.0010666568069962632,0.9067008490675936,0.053773725159819596,0.07642400070723018,8.644991333568441e-05,-0.00019894159623650153,0.9990557275032914,0.23507342527400213,0.2317341782800858,0.15878571674636224,-5.624584145040856e-05,,0.24323358766503553,0.24378870660231267,0.1974528998340877,0.06947816163476826,0.0006609449621953787,0.0,0.0070041899692536705,0.18854835546480445,0.9336734693877551,0.9981052767134365,0.21555406945661448,0.30799439615450414,0.5988631660280619,0.2525302001357703,-0.06203066580866336
climatology_tmax_delta_doy_plus1_minus_x,climatology,-0.008162992762217974,-0.0020751732024538398,-0.0004185023161959857,0.029219024750023692,0.04887820512820513,0.0,8.48512813468686,-0.0040270335697432024,0.9571384045607236,0.06359058044231769,0.023264227265649997,-0.0010314744475162564,0.001132117192793647,0.735482608032084,0.008162992762217974,0.0020751732024538398,0.0004185023161959857,5.032137263869527e-05,,0.0012131063953649281,0.0,0.0,0.02623107634166765,0.0006933111815409303,0.0,0.0024816581615828325,0.6676487473550852,0.9336734693877551,0.46923450168291786,0.25497399546752075,0.09365374704234324,0.2815407010097507,0.19044589609744975,-0.06802078819295937
Cloud_23h_x,other,-0.013027466359278365,-0.04431876664976265,-0.03512316815530986,0.028781719180840604,0.05235042735042735,0.0,8.498856547001829,-0.005651487187110843,0.8963202255383443,0.1557098422151556,0.24805202027845252,0.05626847318643957,0.06011183697505338,0.8834882324035433,0.013027466359278365,0.04431876664976265,0.03512316815530986,0.05819015508074647,,0.0064015070698161605,0.04484261788590491,0.04326992131775947,0.02583848980368374,0.018351336931722563,0.0,0.0,0.08994403667290314,1.0,0.766214138404789,0.6248821156105032,1.0,0.4597284830428734,0.7749292693663019,-0.19670085826388595
