feature,family,pearson,spearman,kendall,mutual_info,missing_rate,near_zero_variance,univariate_mae,univariate_lift,temporal_stability,drift_ks,corr_shift,perm_hist_gbr,perm_lightgbm,max_peer_corr,abs_pearson,abs_spearman,abs_kendall,perm_avg,gain_avg,n_abs_pearson,n_abs_spearman,n_abs_kendall,n_mutual_info,n_perm_avg,n_gain_avg,n_univariate_lift,n_temporal_stability,n_missing_rate,n_max_peer_corr,n_drift_ks,n_corr_shift,redundancy_penalty,drift_penalty,utility_score
daylight_hours_plus1,astronomical,0.7556969093867321,0.7559841706055269,0.541036358137891,0.5030433732188584,0.0,0.0,5.287452703087161,0.37434704952551207,0.9698643380424985,0.00017508846575110815,0.008289646380967297,0.0029816832252552495,0.004819324275175596,0.9998515419265726,0.7556969093867321,0.7559841706055269,0.541036358137891,0.0039005037502154224,,0.7985255801507135,0.8002930227387042,0.6740445850372108,0.45160196957166365,0.0018626750278063601,0.0,0.5805191726868444,0.7885308888204551,0.0,0.9997021125048312,0.0003268676731154033,0.03327611224048132,0.5998212675028987,0.01350656550006177,0.43969703770421076
month_cos,seasonality,-0.7118619725410349,-0.7599445577733963,-0.5676478912739655,0.38971077852475133,0.0,0.0,5.691729980935801,0.32650978536462144,0.9673597080884218,0.00010955827973901933,0.008441524794348565,0.0,0.00046805884272895784,0.9859680178523286,0.7118619725410349,0.7599445577733963,0.5676478912739655,0.00023402942136447892,,0.7517716588153854,0.8044970715412882,0.707223954931766,0.34985880843422734,0.0007491063437906487,0.0,0.5074387622870437,0.7647397042397165,0.0,0.971844225661016,6.372891739972147e-05,0.03388848726773837,0.5831065353966096,0.013593632257535182,0.4064334648257649
climatology_tmax_std_doy_plus1,climatology,-0.7463601083632226,-0.7538654284486955,-0.5542686694308536,0.4382300723962098,0.04887820512820513,0.0,4.840726617554494,0.4272071901569817,0.9526087154805618,0.07525153074579083,0.0450744230789204,-0.00021922929077859975,-0.00010160786728929949,0.9938579426091347,0.7463601083632226,0.7538654284486955,0.5542686694308536,-0.00016041857903394962,,0.7885670381294623,0.7980439256050511,0.6905426856428443,0.3934165011523939,0.0006293059848300107,0.0,0.6612729707750139,0.6246217649363546,0.9336734693877551,0.9876756982688302,0.3017989495848838,0.1815926381479851,0.592605418961298,0.2537164250101243,0.3018864172057415
climatology_tmax_std_doy,climatology,-0.7431740850725748,-0.7498503301135945,-0.5501736489639129,0.43685955118438446,0.04887820512820513,0.0,4.891508529762164,0.4211982752810312,0.9539640273812441,0.07466167034685428,0.043295197625024096,0.0020099442824768055,-0.0009017334642439145,0.9938579426091347,0.7431740850725748,0.7498503301135945,0.5501736489639129,0.0005541054091164454,,0.7851688563816974,0.7937817995470526,0.6854369971391551,0.3921861299527105,0.0008463186967209058,0.0,0.652093224129909,0.6374957128587293,0.9336734693877551,0.9876756982688302,0.29943034450579115,0.17441878630446458,0.592605418961298,0.24942572122526052,0.30106705478275286
month_sin,seasonality,-0.5142961946525451,-0.44110720119974356,-0.29493791383470025,0.2774231315413265,0.0,0.0,7.141055714860354,0.1550141763166077,0.9606348778316742,0.00014129946358865109,0.003765592367016679,0.0,-8.634090470369671e-05,0.9835491431807385,0.5142961946525451,0.44110720119974356,0.29493791383470025,-4.317045235184836e-05,,0.5410499034615147,0.4660433420682535,0.3672080239019496,0.24905373826342855,0.0006649161733714407,0.0,0.24544699267328351,0.7008613346418441,0.0,0.9669906498304,0.00019118675219961023,0.01503508879002795,0.5801943898982399,0.0061287475673309465,0.2553333920882098
daylight_delta_plus1_minus_x,astronomical,-0.46334398582312564,-0.4636217215476487,-0.2991677369881629,0.27610473543139946,0.0,0.0,7.428892613581042,0.12095505275510914,0.9586569639922857,9.368768781425896e-05,0.00253806822919872,4.448354821651179e-05,0.0019375888752142245,0.9835491431807385,0.46334398582312564,0.4636217215476487,0.2991677369881629,0.0009910362117153682,,0.486704768395905,0.48994306153944017,0.3724817849543349,0.24787016183321164,0.0009790217829057462,0.0,0.19341528117405513,0.6820733643226775,0.0,0.9669906498304,0.0,0.010085701246270087,0.5801943898982399,0.004034280498508035,0.24396814688209514
month,seasonality,0.24816453684322984,0.23627047958178868,0.16039034795082927,0.7132539364437749,0.0,0.0,8.157389957233995,0.034753522819308644,0.9365556258960053,0.0001566581009352086,0.007880987726302885,0.00015017283957785565,0.0015872453311110313,0.7805708726410849,0.24816453684322984,0.23627047958178868,0.16039034795082927,0.0008687090853444435,,0.25719644114544965,0.2486041024833786,0.19945356067557765,0.6403163219140795,0.0009418690184474211,0.0,0.06172624553833222,0.47213535999830397,0.0,0.5597060395103872,0.0002528598980703695,0.03162839714247904,0.3358236237062323,0.012803074795833837,0.23257079501714314
doy_sin,seasonality,-0.31350174651445656,-0.31487757620542417,-0.19662722275224248,0.34167976424365776,0.0,0.0,8.01370396783699,0.051755578110620086,0.9553712861342167,9.419964239243406e-05,0.004958438582199909,0.0034660149054159817,0.00425108508403893,0.9806376120408458,0.31350174651445656,0.31487757620542417,0.19662722275224248,0.003858549994727456,,0.3268844795243217,0.33204747719085526,0.24463384648289624,0.30673946365273963,0.0018499329807884302,0.0,0.08770007995641681,0.6508630978052907,0.0,0.9611485376545839,2.0557715288507e-06,0.019844654661002395,0.5766891225927503,0.007939095327318268,0.18809036449325142
WindSpd_23h_ma3,temperature_rolling_trend,-0.4487235457591265,-0.44410829453699374,-0.303993067421292,0.12697629222900897,0.005208333333333333,0.0,7.411752124344266,0.12298325012457281,0.9292050495189847,0.12238288045584611,0.011073133155426573,-0.00039343312838662213,-0.0004208861287462895,0.6638151213606245,0.4487235457591265,0.44410829453699374,0.303993067421292,-0.0004071596285664558,,0.4711107478764664,0.46922907677451386,0.3784980269530799,0.11399164905523873,0.0005543666613337302,0.0,0.19651373378693218,0.4023131017937078,0.09948979591836733,0.32543061418305985,0.4910565341065683,0.04449915408975414,0.1952583685098359,0.3124335820998426,0.18202186876080823
wind_v,wind,-0.41752966268951636,-0.41403979733831137,-0.28254830938892866,0.12467721681161237,0.011217948717948718,0.0,7.824102090360047,0.07419076206785735,0.9588350382463335,0.042405776710762844,0.02068668171874055,0.015821560855739047,0.02048664036575909,0.8936625931494528,0.41752966268951636,0.41403979733831137,0.28254830938892866,0.01815410061074907,,0.43783965271523,0.4373106242885591,0.35176061368881073,0.11192767795062708,0.006191727320243726,0.0,0.12197403938427137,0.6837648706628588,0.21428571428571427,0.7866294298575923,0.16990567454174313,0.08326106193716933,0.47197765791455537,0.1352478294999136,0.1705976377578656
