date,date_str,Tmax_so_far_23h_x,Tmin_so_far_23h_x,Tmean_so_far_23h_x,Delta_Tmax_so_far_1d_23h,MA_Tmax_3d_asof_23h,DTR_so_far_23h_x,HR_23h_x,Td_23h_x,SLP_23h_x,Delta_SLP_24h_23h,WindSpd_23h_x,WindDir_sin_23h_x,WindDir_cos_23h_x,Cloud_23h_x,Precip_sum_00_23h_x,climatology_tmax_doy,tmax_anomaly_x,tmax_lag2,tmax_lag3,tmax_lag7,tmin_lag1,tmean_ma7,tmax_trend_3d,tmax_trend_7d,dtr_ma3,td_anomaly_x,td_ma3,wind_u,wind_v,pressure_trend_3d,month,season,extreme_heat_flag,extreme_cold_flag,t_max_x+1,ciudad,doy_sin,doy_cos
1983-01-01,01-01-83,7.2,2.2,4.491666666666667,4.4,5.2,5.0,42.531025506731076,-6.7,1021.3,-1.7000000000000455,4.1,-0.9396926207859084,-0.34202014332566855,0.0,0.0,2.8511627906976744,4.348837209302326,5.6,17.8,16.7,0.0,7.678571428571429,0.8000000000000005,-1.6892857142857147,3.9,-0.00232558139535044,-5.033333333333334,-3.852739745222224,-1.402282587635241,-5.249999999999906,1.0,winter,0.0,0.0,6.1,new york,0.017201575418260506,0.9998520419557735
1983-01-02,02-01-83,6.1,3.9,4.641666666666667,-1.1000000000000005,5.366666666666667,2.1999999999999997,56.79094337400782,-3.9,1015.6,-5.699999999999932,5.7,-0.8660254037844386,0.5000000000000001,50.0,0.0,2.506818181818182,3.593181818181818,2.8,5.6,16.7,2.2,6.921428571428572,1.6499999999999997,-1.2928571428571425,3.3333333333333335,2.9977272727272726,-4.1000000000000005,-4.9363448015713,2.8500000000000005,-3.699999999999977,1.0,winter,0.0,0.0,3.9,new york,0.03439806061360801,0.9994082116062598
1983-01-03,03-01-83,3.9,0.0,2.154166666666667,-2.1999999999999997,5.733333333333333,3.9,49.20850314079267,-9.4,1026.4,10.800000000000068,7.7,-0.5000000000000004,0.8660254037844384,0.0,0.0,2.253333333333333,1.646666666666667,7.2,2.8,6.1,3.9,6.042857142857143,-1.649999999999999,-2.2678571428571423,3.6999999999999997,-1.6555555555555586,-6.666666666666667,-3.8500000000000036,6.668395609140176,2.5500000000001792,1.0,winter,0.0,0.0,0.0,new york,0.051584366869408364,0.9986686402879997
1983-01-04,04-01-83,0.0,-3.9,-2.2041666666666666,-3.9,3.3333333333333335,3.9,65.48139305241484,-7.8,1038.3,11.899999999999864,3.1,0.766044443118978,0.6427876096865394,100.0,0.0,1.708695652173913,-1.708695652173913,6.1,7.2,17.8,0.0,5.728571428571429,-3.0500000000000003,-1.910714285714286,3.3333333333333335,0.7521739130434772,-7.033333333333334,2.3747377736688318,1.9926415900282721,11.350000000000072,1.0,winter,0.0,0.0,6.1,new york,0.06875540848113941,0.9976335468520451
1983-01-05,05-01-83,6.1,-1.1,2.841666666666667,6.1,3.3333333333333335,7.199999999999999,92.59561987307997,3.9,1019.0,-19.299999999999955,4.6,-0.1736481776669304,0.984807753012208,100.0,10.8,0.9872340425531916,5.112765957446808,3.9,6.1,17.8,-3.9,3.7785714285714285,1.1000000000000005,-0.26428571428571423,5.0,13.461702127659573,-4.433333333333333,-0.7987816172678797,4.530115663856156,-3.6999999999999176,1.0,winter,0.0,0.0,7.2,new york,0.08590610426133272,0.9963032375991965
1983-01-06,06-01-83,7.2,3.3,4.741666666666667,1.1000000000000005,4.433333333333334,3.9000000000000004,67.2263028137699,-2.2,1016.6,-2.3999999999999773,3.1,-0.9396926207859083,0.342020143325669,75.0,10.4,0.5145833333333334,6.685416666666667,0.0,3.9,5.6,-1.1,2.4642857142857144,3.6000000000000014,0.17500000000000007,5.0,7.425,-2.033333333333333,-2.913047124436316,1.0602624443095738,-10.849999999999868,1.0,winter,0.0,0.0,9.4,new york,0.10303137904317879,0.9946781061893646
1983-01-07,07-01-83,9.4,2.2,5.970833333333334,2.2,7.566666666666667,7.2,44.36836716406971,-5.6,1013.5,-3.1000000000000227,7.7,-0.9396926207859083,0.342020143325669,62.5,0.0,0.4918367346938777,8.908163265306122,6.1,0.0,2.8,2.8,2.6571428571428575,1.650000000000001,0.3928571428571429,6.266666666666667,3.8183673469387767,-1.3,-7.235633180051495,2.633555103607651,-2.749999999999915,1.0,winter,1.0,0.0,6.7,new york,0.1201261651823505,0.9927586335250793
1983-01-08,08-01-83,6.7,2.2,4.483333333333333,-2.7,7.766666666666667,4.5,54.23387149456724,-6.1,1027.1,13.599999999999909,4.1,-2.4492935982947064e-16,1.0,25.0,0.0,0.8250000000000001,5.875,7.2,6.1,7.2,2.2,3.2857142857142856,-0.24999999999999906,0.7142857142857144,5.366666666666667,3.1384615384615397,-4.633333333333333,-1.0042103753008295e-15,4.1,5.250000000000065,1.0,winter,0.0,0.0,2.2,new york,0.13718540405660057,0.9905453876091833
1983-01-09,09-01-83,2.2,-1.1,0.775,-4.5,6.1000000000000005,3.3000000000000003,66.37417940669084,-3.9,1032.5,5.400000000000091,7.7,0.8660254037844386,0.5000000000000001,100.0,0.0,0.7519230769230771,1.448076923076923,9.4,7.2,6.1,2.2,3.25,-3.5999999999999988,0.41428571428571437,5.0,5.615384615384615,-5.2,6.668395609140178,3.850000000000001,9.500000000000105,1.0,winter,0.0,0.0,12.8,new york,0.1542040475626894,0.988039023376751
1983-01-10,10-01-83,11.7,1.1,4.329166666666667,9.5,6.866666666666666,10.6,96.1077942748109,11.1,1006.8,-25.700000000000045,9.3,0.8660254037844387,-0.4999999999999998,100.0,10.5,0.4115384615384616,11.288461538461538,6.7,9.4,3.9,-1.1,2.6142857142857143,2.500000000000001,0.9571428571428573,6.133333333333333,20.903846153846153,0.36666666666666653,8.05403625519528,-4.649999999999999,-10.149999999999785,1.0,winter,1.0,0.0,13.9,new york,0.17117705961019986,0.985240282501282
